episode,step,episode_step,timestamp,battery_level,battery_voltage_V,solar_input_W,wind_input_W,cpu_usage,memory_usage,signal_quality,queue_size,temperature_C,humidity_pct,pressure_hPa,cloud_cover,action,action_name,reward,cumulative_ep_reward,next_battery,next_queue_size,energy_consumed_mJ,energy_harvested_mJ,net_energy_mJ,tx_success,packets_sent,latency_ms,packet_loss,done
1,1,1,2026-01-15 06:00:00,0.95363,4.1434,0.0444,1.0883,0.3984,0.3645,0.7,12,9.53,63.71,1012.99,0.4308,3,TX_LOW,-0.479178,-0.47918,0.91731,10,656.511,2.781,-653.73,1,2,35.94,0,0
1,2,2,2026-01-15 06:00:30,0.91731,4.0873,0.0689,1.4709,0.5063,0.375,0.746,10,8.99,63.89,1012.72,0.4179,4,TX_MED,0.038881,-0.4403,0.87337,0,794.674,3.741,-790.934,1,10,23.41,0,0
1,3,3,2026-01-15 06:01:00,0.87337,4.0451,0.0681,1.4726,0.6672,0.4266,0.7435,0,9.77,65.17,1012.59,0.4249,5,TX_HIGH,-1.446039,-1.88634,0.80496,1,1235.482,4.074,-1231.408,0,0,0.0,0,0
1,4,4,2026-01-15 06:01:30,0.80496,3.9585,0.0662,1.1491,0.055,0.1125,0.8003,1,7.09,61.23,1012.46,0.4046,1,SLEEP_LIGHT,-0.029067,-1.9154,0.79995,3,93.437,3.284,-90.153,0,0,0.0,0,0
1,5,5,2026-01-15 06:02:00,0.79995,3.9548,0.0,1.4552,0.0556,0.2114,0.7698,3,7.38,53.67,1012.37,0.3894,1,SLEEP_LIGHT,-0.058895,-1.9743,0.79521,6,88.536,3.117,-85.419,0,0,0.0,0,0
1,6,6,2026-01-15 06:02:30,0.79521,3.9504,0.0,1.3985,0.1938,0.2738,0.8328,6,7.31,59.53,1012.07,0.3855,2,ACTIVE_LOW,-0.302488,-2.27679,0.77742,8,323.402,3.177,-320.225,0,0,0.0,0,0
1,7,7,2026-01-15 06:03:00,0.77742,3.9342,0.0482,1.5404,0.2174,0.2316,0.7138,8,7.03,60.0,1012.04,0.4249,2,ACTIVE_LOW,-0.221687,-2.49847,0.76089,8,301.474,4.091,-297.383,0,0,0.0,0,0
1,8,8,2026-01-15 06:03:30,0.76089,3.9118,0.1647,1.3627,0.1078,0.1562,0.7948,8,7.2,60.72,1011.98,0.4342,1,SLEEP_LIGHT,-0.038523,-2.537,0.75616,9,90.026,4.786,-85.24,0,0,0.0,0,0
1,9,9,2026-01-15 06:04:00,0.75616,3.9093,0.0532,1.5132,0.3672,0.3613,0.7355,9,8.3,55.44,1012.06,0.4659,3,TX_LOW,-0.929689,-3.46668,0.71598,17,726.917,3.773,-723.145,0,0,0.0,1,0
1,10,10,2026-01-15 06:04:30,0.71598,3.8619,0.0603,1.3835,0.357,0.4338,0.7099,17,7.72,72.97,1012.09,0.4476,3,TX_LOW,0.020157,-3.44653,0.68127,13,628.637,3.796,-624.841,1,8,23.9,0,0
1,11,11,2026-01-15 06:05:00,0.68127,3.8271,0.0357,1.498,0.389,0.3182,0.6351,13,8.64,63.99,1012.59,0.4313,3,TX_LOW,-0.045094,-3.49162,0.6443,12,668.992,3.573,-665.419,1,8,31.51,0,0
1,12,12,2026-01-15 06:05:30,0.6443,3.7647,0.0,1.554,0.2258,0.3387,0.6566,12,7.22,64.6,1012.65,0.4445,2,ACTIVE_LOW,-0.293394,-3.78502,0.62541,18,343.433,3.429,-340.004,0,0,0.0,0,0
1,13,13,2026-01-15 06:06:00,0.62541,3.7556,0.1189,1.7964,0.4586,0.4276,0.6873,18,9.16,68.67,1012.52,0.474,3,TX_LOW,-0.891218,-4.67623,0.58848,25,670.217,5.39,-664.826,0,0,0.0,1,0
1,14,14,2026-01-15 06:06:30,0.58848,3.7092,0.077,1.0354,0.4079,0.4361,0.7409,25,9.5,60.59,1012.29,0.457,3,TX_LOW,-0.165855,-4.84209,0.55075,25,682.322,3.11,-679.212,1,7,27.88,0,0
1,15,15,2026-01-15 06:07:00,0.55075,3.6631,0.0699,1.6849,0.2069,0.2631,0.8161,25,7.42,59.59,1012.57,0.4392,2,ACTIVE_LOW,-0.300083,-5.14217,0.53371,31,310.952,4.301,-306.652,0,0,0.0,0,0
1,16,16,2026-01-15 06:07:30,0.53371,3.642,0.098,1.1369,0.0741,0.2181,0.8367,31,6.59,62.7,1012.12,0.3965,0,SLEEP_DEEP,-0.04142,-5.18359,0.53182,36,37.477,3.553,-33.924,0,0,0.0,0,0
1,17,17,2026-01-15 06:08:00,0.53182,3.6408,0.0883,1.6357,0.4858,0.4584,0.7174,36,8.7,62.45,1012.43,0.4269,3,TX_LOW,-1.061655,-6.24525,0.49709,39,629.728,4.438,-625.29,0,0,0.0,1,0
1,18,18,2026-01-15 06:08:30,0.49709,3.5942,0.0653,0.9701,0.647,0.5661,0.7575,39,10.37,67.55,1012.51,0.457,4,TX_MED,-0.664311,-6.90956,0.45362,47,785.031,2.66,-782.371,1,2,21.27,0,0
1,19,19,2026-01-15 06:09:00,0.45362,3.5417,0.0137,1.4619,0.6794,0.6403,0.8103,47,10.38,62.67,1013.07,0.4825,4,TX_MED,-0.277654,-7.18721,0.40689,44,844.523,3.322,-841.201,1,8,27.52,0,0
1,20,20,2026-01-15 06:09:30,0.40689,3.499,0.2336,1.5614,0.192,0.3549,0.7568,44,6.88,60.35,1012.45,0.4558,1,SLEEP_LIGHT,-0.289262,-7.47647,0.40191,47,95.152,5.605,-89.547,0,0,0.0,0,0
1,21,21,2026-01-15 06:10:00,0.40191,3.488,0.0702,1.7453,0.6374,0.5274,0.711,47,10.19,65.01,1012.37,0.4872,4,TX_MED,0.05618,-7.42029,0.35558,41,838.63,4.637,-833.992,1,12,32.39,0,0
1,22,22,2026-01-15 06:10:30,0.35558,3.4282,0.1608,1.4708,0.6382,0.5451,0.6457,41,9.87,73.06,1012.55,0.4981,4,TX_MED,-0.027645,-7.44794,0.30942,32,835.67,4.783,-830.887,1,11,38.25,0,0
1,23,23,2026-01-15 06:11:00,0.30942,3.3754,0.2161,1.3752,0.6235,0.6014,0.6805,32,8.8,67.57,1012.09,0.5279,4,TX_MED,0.194165,-7.25377,0.26733,24,762.834,5.168,-757.666,1,13,35.18,0,0
1,24,24,2026-01-15 06:11:30,0.26733,3.3015,0.0632,1.3187,0.7388,0.5497,0.5402,24,10.55,69.41,1011.89,0.5562,5,TX_HIGH,-0.115148,-7.36892,0.20018,12,1212.044,3.316,-1208.728,1,15,56.99,0,0
1,25,25,2026-01-15 06:12:00,0.20018,3.2333,0.0783,1.0685,0.6641,0.4734,0.5247,12,9.77,68.15,1012.36,0.6097,5,TX_HIGH,-1.338227,-8.70715,0.12265,12,1398.415,2.951,-1395.465,1,3,51.43,0,0
1,26,26,2026-01-15 06:12:30,0.12265,3.1537,0.0845,1.1666,0.0811,0.2185,0.483,12,7.93,70.38,1012.39,0.6362,0,SLEEP_DEEP,-0.159415,-8.86657,0.12062,12,40.051,3.496,-36.555,0,0,0.0,0,0
1,27,27,2026-01-15 06:13:00,0.12062,3.1428,0.0714,1.5184,0.0325,0.0898,0.5194,12,7.45,69.61,1012.56,0.6631,0,SLEEP_DEEP,-0.140363,-9.00693,0.11879,23,36.921,4.058,-32.863,0,0,0.0,0,0
