Date,City,PM25
2005-01-01,Accra,38.3
2005-01-01,Bolgatanga,70.9
2005-01-01,Cape Coast,39.5
2005-01-01,Dambai,50.6
2005-01-01,Damongo,111.5
2005-01-01,Goaso,46.6
2005-01-01,Ho,49.6
2005-01-01,Kintampo,50.7
2005-01-01,Koforidua,50.3
2005-01-01,Kumasi,45.6
2005-01-01,Nalerigu,82.0
2005-01-01,Navrongo,73.3
2005-01-01,Sefwi Wiawso,46.6
2005-01-01,Sekondi-Takoradi,40.0
2005-01-01,Somanya,53.7
2005-01-01,Sunyani,45.0
2005-01-01,Tamale,114.5
2005-01-01,Techiman,46.2
2005-01-01,Tema,33.9
2005-01-01,Wa,84.5
2005-01-02,Accra,50.8
2005-01-02,Bolgatanga,78.3
2005-01-02,Cape Coast,57.9
2005-01-02,Dambai,70.3
2005-01-02,Damongo,84.2
2005-01-02,Goaso,54.0
2005-01-02,Ho,60.8
2005-01-02,Kintampo,82.5
2005-01-02,Koforidua,53.1
2005-01-02,Kumasi,45.1
2005-01-02,Nalerigu,65.1
2005-01-02,Navrongo,96.8
2005-01-02,Sefwi Wiawso,50.1
2005-01-02,Sekondi-Takoradi,56.4
2005-01-02,Somanya,67.6
2005-01-02,Sunyani,56.6
2005-01-02,Tamale,75.3
2005-01-02,Techiman,57.8
2005-01-02,Tema,63.5
2005-01-02,Wa,76.4
2005-01-03,Accra,51.8
2005-01-03,Bolgatanga,80.4
2005-01-03,Cape Coast,48.7
2005-01-03,Dambai,97.8
2005-01-03,Damongo,87.4
2005-01-03,Goaso,67.6
2005-01-03,Ho,62.3
2005-01-03,Kintampo,96.4
2005-01-03,Koforidua,55.3
2005-01-03,Kumasi,91.1
2005-01-03,Nalerigu,84.7
2005-01-03,Navrongo,81.8
2005-01-03,Sefwi Wiawso,51.8
2005-01-03,Sekondi-Takoradi,49.7
2005-01-03,Somanya,58.6
2005-01-03,Sunyani,93.3
2005-01-03,Tamale,112.9
2005-01-03,Techiman,89.7
2005-01-03,Tema,52.1
2005-01-03,Wa,84.7
2005-01-04,Accra,49.5
2005-01-04,Bolgatanga,94.8
2005-01-04,Cape Coast,51.5
2005-01-04,Dambai,72.0
2005-01-04,Damongo,106.2
2005-01-04,Goaso,52.4
2005-01-04,Ho,52.4
2005-01-04,Kintampo,84.5
2005-01-04,Koforidua,53.2
2005-01-04,Kumasi,62.3
2005-01-04,Nalerigu,82.7
2005-01-04,Navrongo,105.7
2005-01-04,Sefwi Wiawso,48.1
2005-01-04,Sekondi-Takoradi,81.3
2005-01-04,Somanya,61.0
2005-01-04,Sunyani,86.1
2005-01-04,Tamale,128.8
2005-01-04,Techiman,60.3
2005-01-04,Tema,67.2
2005-01-04,Wa,85.3
2005-01-05,Accra,47.7
2005-01-05,Bolgatanga,127.8
2005-01-05,Cape Coast,48.2
2005-01-05,Dambai,48.2
2005-01-05,Damongo,134.5
2005-01-05,Goaso,48.8
2005-01-05,Ho,56.7
2005-01-05,Kintampo,77.9
2005-01-05,Koforidua,45.6
2005-01-05,Kumasi,46.2
2005-01-05,Nalerigu,121.8
2005-01-05,Navrongo,124.7
2005-01-05,Sefwi Wiawso,47.7
2005-01-05,Sekondi-Takoradi,47.9
2005-01-05,Somanya,48.1
2005-01-05,Sunyani,56.2
2005-01-05,Tamale,134.3
2005-01-05,Techiman,47.9
2005-01-05,Tema,50.0
2005-01-05,Wa,132.9
2005-01-06,Accra,49.5
2005-01-06,Bolgatanga,113.8
2005-01-06,Cape Coast,50.8
2005-01-06,Dambai,70.3
2005-01-06,Damongo,108.2
2005-01-06,Goaso,53.2
2005-01-06,Ho,62.8
2005-01-06,Kintampo,70.7
2005-01-06,Koforidua,61.0
2005-01-06,Kumasi,64.5
2005-01-06,Nalerigu,94.0
2005-01-06,Navrongo,111.8
2005-01-06,Sefwi Wiawso,47.8
2005-01-06,Sekondi-Takoradi,54.5
2005-01-06,Somanya,56.2
2005-01-06,Sunyani,55.4
2005-01-06,Tamale,104.3
2005-01-06,Techiman,53.0
2005-01-06,Tema,52.6
2005-01-06,Wa,107.6
2005-01-07,Accra,87.6
2005-01-07,Bolgatanga,90.6
2005-01-07,Cape Coast,71.7
2005-01-07,Dambai,84.9
2005-01-07,Damongo,83.1
2005-01-07,Goaso,70.8
2005-01-07,Ho,55.4
2005-01-07,Kintampo,98.1
2005-01-07,Koforidua,61.0
2005-01-07,Kumasi,68.5
2005-01-07,Nalerigu,83.9
2005-01-07,Navrongo,97.4
2005-01-07,Sefwi Wiawso,48.3
2005-01-07,Sekondi-Takoradi,58.5
2005-01-07,Somanya,54.3
2005-01-07,Sunyani,97.5
2005-01-07,Tamale,101.0
2005-01-07,Techiman,73.6
2005-01-07,Tema,93.6
2005-01-07,Wa,88.7
2005-01-08,Accra,95.9
2005-01-08,Bolgatanga,72.2
2005-01-08,Cape Coast,82.5
2005-01-08,Dambai,84.8
2005-01-08,Damongo,87.9
2005-01-08,Goaso,85.2
2005-01-08,Ho,74.5
2005-01-08,Kintampo,87.9
2005-01-08,Koforidua,64.3
2005-01-08,Kumasi,77.2
2005-01-08,Nalerigu,71.5
2005-01-08,Navrongo,79.9
2005-01-08,Sefwi Wiawso,60.7
2005-01-08,Sekondi-Takoradi,62.3
2005-01-08,Somanya,82.7
2005-01-08,Sunyani,92.2
2005-01-08,Tamale,89.5
2005-01-08,Techiman,86.8
2005-01-08,Tema,93.7
2005-01-08,Wa,77.0
2005-01-09,Accra,58.0
2005-01-09,Bolgatanga,89.3
2005-01-09,Cape Coast,77.7
2005-01-09,Dambai,71.3
2005-01-09,Damongo,76.7
2005-01-09,Goaso,91.6
2005-01-09,Ho,52.5
2005-01-09,Kintampo,100.0
2005-01-09,Koforidua,74.1
2005-01-09,Kumasi,87.0
2005-01-09,Nalerigu,89.7
2005-01-09,Navrongo,94.6
2005-01-09,Sefwi Wiawso,79.7
2005-01-09,Sekondi-Takoradi,80.0
2005-01-09,Somanya,62.0
2005-01-09,Sunyani,94.1
2005-01-09,Tamale,94.2
2005-01-09,Techiman,94.0
2005-01-09,Tema,75.7
2005-01-09,Wa,93.2
2005-01-10,Accra,59.5
2005-01-10,Bolgatanga,77.1
2005-01-10,Cape Coast,79.6
2005-01-10,Dambai,83.5
2005-01-10,Damongo,84.7
2005-01-10,Goaso,89.9
2005-01-10,Ho,62.9
2005-01-10,Kintampo,83.3
2005-01-10,Koforidua,69.6
2005-01-10,Kumasi,88.0
2005-01-10,Nalerigu,67.6
2005-01-10,Navrongo,79.6
2005-01-10,Sefwi Wiawso,76.5
2005-01-10,Sekondi-Takoradi,63.5
2005-01-10,Somanya,59.0
2005-01-10,Sunyani,93.5
2005-01-10,Tamale,79.3
2005-01-10,Techiman,82.4
2005-01-10,Tema,61.1
2005-01-10,Wa,74.1
2005-01-11,Accra,51.2
2005-01-11,Bolgatanga,68.6
2005-01-11,Cape Coast,100.8
2005-01-11,Dambai,85.3
2005-01-11,Damongo,70.8
2005-01-11,Goaso,90.4
2005-01-11,Ho,50.6
2005-01-11,Kintampo,70.3
2005-01-11,Koforidua,53.5
2005-01-11,Kumasi,80.8
2005-01-11,Nalerigu,70.2
2005-01-11,Navrongo,61.6
2005-01-11,Sefwi Wiawso,51.0
2005-01-11,Sekondi-Takoradi,67.6
